Number,Session,Speaker,Title,Slide,Community
44,3,horihorio,テキスト：セグメンテーション ,NA,Tokyo.R
44,4,sanoche16,シリーズ前処理2014 小綺麗なデータ作成 ,NA,Tokyo.R
44,5,soultoru,Jubatusつかってみたよ ,NA,Tokyo.R
44,6,G.O.R.N,NA,NA,Tokyo.R
44,7,sfchaos,シリーズ前処理2014 次元削減,NA,Tokyo.R
44,8,yamakita_lab,RColorBrewerとcolorRampPalette()で地図描画 ,NA,Tokyo.R
44,9,weda_654,Rユーザーのためのmコマンド ,NA,Tokyo.R
44,10,kumisky,ガチで理系な方に、その相関は間違ってます、と言われたマーケ女子の話 ,NA,Tokyo.R
44,11,yokkuns,近況報告 ,NA,Tokyo.R
44,12,所沢義男,この1年間を振り返って ,NA,Tokyo.R
44,13,tetsuroito,これからのRとデータの話をしよう ,NA,Tokyo.R
44,14,yamano357,NA,NA,Tokyo.R
44,15,IzumiMihashi,NA,NA,Tokyo.R
45,1,doradora09,導入セッション 1,NA,Tokyo.R
45,2,aad34210,導入セッション2 ,NA,Tokyo.R
45,3,yokkuns,Rによる回帰分析 ,NA,Tokyo.R
45,4,tetsuroito,2015 Rコトハジメ ,NA,Tokyo.R
45,5,u_ribo,シリーズ前処理2015① ,NA,Tokyo.R
45,6,tyatsuta,typedFunction ∼型情報でRをスピードアップ ,NA,Tokyo.R
45,7,yokkuns,カーネル多変量解析第2章 カーネル多変量解析の仕組み ,NA,Tokyo.R
45,8,salinger001101,Jenkins によるレポートスクリプト管理,NA,Tokyo.R
45,9,gg_hatano,巨人の勝率を上げるbot作りました ,NA,Tokyo.R
45,10,ksmzn,Shiny で確率分布を学ぶアプリ作った,NA,Tokyo.R
45,11,所沢義男,NA,NA,Tokyo.R
45,12,wonder_zone,分析で好みの娘をぶっこぬく,NA,Tokyo.R
45,13,hiratake55,「R for Cloud Computing」,NA,Tokyo.R
45,14,IzumiMihashi,NA,NA,Tokyo.R
